Epoch 85/100 | Loss: 556.48 | Recon: 350.57 | KL: 411.82
Epoch 86/100 | Loss: 556.20 | Recon: 350.24 | KL: 411.92
Epoch 87/100 | Loss: 555.52 | Recon: 349.47 | KL: 412.10
Epoch 88/100 | Loss: 555.70 | Recon: 349.50 | KL: 412.40
Epoch 89/100 | Loss: 555.16 | Recon: 348.94 | KL: 412.45
Epoch 90/100 | Loss: 554.66 | Recon: 348.70 | KL: 411.92
Epoch 91/100 | Loss: 554.70 | Recon: 348.65 | KL: 412.09
Epoch 92/100 | Loss: 554.28 | Recon: 348.27 | KL: 412.01
Epoch 93/100 | Loss: 554.28 | Recon: 347.80 | KL: 412.96
Epoch 94/100 | Loss: 553.77 | Recon: 347.67 | KL: 412.20
Epoch 95/100 | Loss: 553.72 | Recon: 347.47 | KL: 412.50
Epoch 96/100 | Loss: 553.30 | Recon: 347.10 | KL: 412.41
Epoch 97/100 | Loss: 553.03 | Recon: 346.62 | KL: 412.82
Epoch 98/100 | Loss: 552.99 | Recon: 346.80 | KL: 412.37
Epoch 99/100 | Loss: 552.49 | Recon: 346.35 | KL: 412.28
Epoch 100/100 | Loss: 552.11 | Recon: 346.06 | KL: 412.10
